"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Kaiden Lahrs","Interchange",7,0,0,0,0,0
"LJ Nonu","Replacement",2,0,0,0,0,0
"Jacob Laban","Replacement",24,0,0,0,0,0
"Lyhkan King-Togia","Replacement",22,1,1,1,0.2,0.2
"Valynce Te Whare","Centre",13,2,0,2,0.4,0
"Jahream Bula","Fullback",57,4,3,4,0.8,0.6
"Jed Stuart","Replacement",17,1,1,1,0.2,0.2
"Triston Reilly","Centre",3,1,0,1,0.33,0
"Jeral Skelton","Replacement",31,4,0,3,0.8,0
"Demitric Sifakula","Replacement",34,0,0,0,0,0
"Tanner Stowers-Smith","Replacement",14,0,0,0,0,0
"Leka Halasima","Interchange",29,3,0,2,0.6,0
"Savelio Tamale","Centre",19,1,0,1,0.2,0
"Heamasi Makasini","Winger",1,1,0,1,1,0
"Jethro Rinakama","Winger",9,1,0,1,0.2,0
"Loko Pasifiki Tonga","Replacement",12,0,0,0,0,0
"Elijah Salesa-Leaumoana","Interchange",8,1,0,1,0.2,0
"Cooper Bai","Replacement",2,0,0,0,0,0
"Sebastian Su'a","Replacement",1,0,0,0,0,0
"Eddie Ieremia-Toeava","Replacement",12,1,0,1,0.2,0
"David Fale","Centre",1,0,0,0,0,0
"Solomon Alaimalo","Winger",9,1,0,1,0.2,0
"Tevita Naufahu","Replacement",9,6,1,3,1.2,0.2
"Carter Gordon","Centre",1,0,0,0,0,0
"Mark Nawaqanitawase","Winger",25,8,2,3,1.6,0.4
"Tyrone Thompson","Prop",3,0,0,0,0,0
"Moses Leo","Centre",2,0,0,0,0,0
"Nathan Lawson","Replacement",6,2,0,1,0.4,0
"Daniel Tupou","Winger",88,6,0,3,1.2,0
"Michael Jennings","Centre",14,1,0,1,0.2,0
"Roger Tuivasa-Sheck","Winger",38,3,1,2,0.6,0.2
"Jared Waerea-Hargreaves","Prop",56,0,0,0,0,0
"Jorge Taufua","Winger",1,1,0,1,1,0
"Kieran Foran","Five-Eighth",80,1,3,1,0.2,0.6
"Daly Cherry-Evans","Halfback",91,1,8,1,0.2,1.6
"Isaac Liu","Interchange",69,0,0,0,0,0
"Dylan Napa","Interchange",2,0,0,0,0,0
"Kevin Naiqama","Winger",9,1,2,1,0.2,0.4
"Dane Gagai","Centre",88,0,0,0,0,0
"Tyrone Roberts","Interchange",2,0,1,0,0,0.5
"Aidan Sezer","Five-Eighth",17,0,3,0,0,0.6
"Albert Kelly","Halfback",4,1,1,1,0.25,0.25
"Ryan James","Interchange",10,0,0,0,0,0
"Dylan Walker","Centre",89,0,2,0,0,0.4
"Adam Reynolds","Halfback",78,1,2,1,0.2,0.4
"Thomas Burgess","Interchange",61,1,0,1,0.2,0
"Luke Keary","Interchange",74,0,5,0,0,1
"George Burgess","Interchange",5,0,0,0,0,0
"Alex Johnston","Winger",77,3,1,2,0.6,0.2
"Apisai Koroisau","Hooker",90,0,1,0,0,0.2
"Tautau Moga","Centre",19,6,0,3,1.2,0
"Adam Elliott","Interchange",72,0,0,0,0,0
"Herman Ese'ese","Interchange",33,0,0,0,0,0
"Royce Hunt","Interchange",76,2,0,1,0.4,0
"Shaun Lane","Interchange",65,1,1,1,0.2,0.2
"Jai Arrow","Interchange",75,0,0,0,0,0
"Jayden Berrell","Replacement",7,0,0,0,0,0
"Tom Opacic","Centre",19,4,0,3,0.8,0
"Aaron Booth","Lock",7,0,1,0,0,0.2
"Bronson Garlick","Replacement",57,0,0,0,0,0
"Jack Gosiewski","Interchange",41,2,0,2,0.4,0
"Brock Gray","Interchange",6,0,0,0,0,0
"Cameron McInnes","Interchange",96,1,0,1,0.2,0
"Zane Musgrove","Interchange",37,0,0,0,0,0
"Brendan Elliot","Winger",19,0,0,0,0,0
