"","FullName","position","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"254","Corey Thompson","Winger",0,0,0,0,0
"255","Aiden Tolman","Prop",0,0,0,0,0
"256","Moses Mbye","Centre",0,0,0,0,0
"257","Jake Granville","Interchange",0,0,0,0,0
"258","Ben Hunt","Interchange",0,2,0,0,0.4
"259","Andrew McCullough","Hooker",0,0,0,0,0
"260","Josh McGuire","Prop",0,0,0,0,0
"261","Francis Molo","Interchange",0,0,0,0,0
"262","Kodi Nikorima","Interchange",1,7,1,0.2,1.4
"263","Corey Oates","Interchange",0,0,0,0,0
"264","Joe Ofahengaue","Interchange",1,0,1,0.2,0
"265","Ashley Taylor","Halfback",0,1,0,0,1
"266","Jarrod Wallace","Interchange",1,1,1,0.2,0.2
"267","Kyle Feldt","Winger",7,0,4,1.4,0
"268","Tariq Sims","Interchange",0,0,0,0,0
"269","James Tamou","Prop",1,0,1,0.2,0
"270","Jason Taumalolo","Interchange",0,0,0,0,0
"271","Jarrod Croker","Centre",1,0,1,0.2,0
"272","Brenko Lee","Winger",0,1,0,0,0.2
"273","Edrick Lee","Winger",4,1,3,0.8,0.2
"274","Anthony Milford","Interchange",2,1,1,0.4,0.2
"275","Mark Nicholls","Interchange",1,0,1,0.2,0
"276","Jordan Rapana","Fullback",3,0,2,0.6,0
"277","Paul Vaughan","Interchange",0,0,0,0,0
"278","Jack Wighton","Winger",2,2,1,0.4,0.4
"279","Tom Eisenhuth","Interchange",1,0,1,0.2,0
"280","Josh Mansour","Winger",1,0,1,0.2,0
"281","Matt Moylan","Fullback",0,0,0,0,0
"282","James Segeyaro","Interchange",0,0,0,0,0
"283","Coen Hess","Interchange",1,0,1,0.2,0
"284","Corey Jensen","Interchange",0,0,0,0,0
"285","Viliame Kikau","Interchange",1,2,1,0.2,0.4
"286","Tevita Pangai Junior","Interchange",0,0,0,0,0
"287","Euan Aitken","Centre",0,1,0,0,0.2
"288","Adam Clune","Halfback",1,5,1,0.2,1
"289","Matthew Dufty","Fullback",0,4,0,0,0.8
"290","Addin Fonua-Blake","Interchange",1,0,1,0.2,0
"291","Tom Freebairn","Interchange",2,0,1,0.4,0
"292","Jacob Host","Interchange",1,0,1,0.2,0
"293","Drew Hutchison","Halfback",0,1,0,0,0.2
"294","Luciano Leilua","Interchange",0,0,0,0,0
"295","Delouise Hoeter","Winger",2,0,2,0.4,0
"296","Mitchell Moses","Fullback",4,2,2,0.8,0.4
"297","Waqa Blake","Centre",0,0,0,0,0
"298","Reagan Campbell-Gillard","Interchange",0,0,0,0,0
"299","Bryce Cartwright","Interchange",1,2,1,0.2,0.4
"300","George Jennings","Winger",1,0,1,0.33,0
"301","James Roberts","Interchange",0,0,0,0,0
"302","Chris Smith","Interchange",1,0,1,0.2,0
"303","Dallin Watene-Zelezniak","Winger",2,0,1,0.4,0
"304","Isaah Yeo","Centre",0,0,0,0,0
"305","Lachlan Fitzgibbon","Interchange",0,1,0,0,0.2
"306","Joseph Tapine","Interchange",1,1,1,0.2,0.2
"307","Danny Levi","Interchange",1,1,1,0.2,0.2
"308","Michael Chee-Kam","Interchange",0,0,0,0,0
"309","Peta Hiku","Winger",1,2,1,0.2,0.4
"310","Jesse Bromwich","Prop",0,0,0,0,0
"311","Kenneath Bromwich","Interchange",0,0,0,0,0
